#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.41787,39.60000,9.123927E-02,1.893723E-01,9.490503E-02,1.961910E-01,9.336101E-02,1.930940E-01,1.789908E-01,3.685418E-01,1.873442E-01,3.878354E-01,1.813670E-01,3.759246E-01,1.685036E-01,3.499165E-01,1.552430E-01,3.223885E-01,1.428873E-01,2.998243E-01,1.098755E-01,2.167968E-01,9.683371E-02,1.920520E-01,8.045783E-02,1.615867E-01,6.251525E-02,1.285177E-01
-9.31787,38.20000,1.230153E-01,2.465549E-01,1.279000E-01,2.552353E-01,1.257915E-01,2.512100E-01,2.365449E-01,4.690206E-01,2.446376E-01,4.919541E-01,2.370386E-01,4.764387E-01,2.209704E-01,4.434639E-01,2.039427E-01,4.109845E-01,1.895833E-01,3.842930E-01,1.471404E-01,2.851882E-01,1.296332E-01,2.509946E-01,1.085543E-01,2.127021E-01,8.505031E-02,1.689313E-01
-9.31787,38.30000,1.275259E-01,2.567215E-01,1.328858E-01,2.660385E-01,1.306423E-01,2.617564E-01,2.380458E-01,4.700721E-01,2.444648E-01,4.879498E-01,2.387525E-01,4.781891E-01,2.257784E-01,4.536662E-01,2.099687E-01,4.252075E-01,1.964116E-01,4.011118E-01,1.531153E-01,2.981212E-01,1.354461E-01,2.638151E-01,1.129618E-01,2.234234E-01,8.801709E-02,1.772108E-01
-9.31787,38.40000,1.305562E-01,2.640566E-01,1.362237E-01,2.737503E-01,1.338914E-01,2.692941E-01,2.391145E-01,4.735132E-01,2.442767E-01,4.880193E-01,2.397735E-01,4.812920E-01,2.289708E-01,4.620970E-01,2.141078E-01,4.361977E-01,2.010759E-01,4.139697E-01,1.573772E-01,3.057333E-01,1.395166E-01,2.722256E-01,1.163396E-01,2.306511E-01,9.037620E-02,1.831279E-01
-9.31787,38.50000,1.326415E-01,2.704681E-01,1.385120E-01,2.804418E-01,1.361185E-01,2.758364E-01,2.404106E-01,4.810185E-01,2.446814E-01,4.937508E-01,2.407291E-01,4.880911E-01,2.311977E-01,4.715720E-01,2.169381E-01,4.467790E-01,2.040017E-01,4.253578E-01,1.603306E-01,3.115468E-01,1.422043E-01,2.787592E-01,1.187961E-01,2.362613E-01,9.213500E-02,1.878710E-01
-9.31787,38.60000,1.339618E-01,2.765019E-01,1.399529E-01,2.866914E-01,1.375226E-01,2.819555E-01,2.415288E-01,4.906092E-01,2.452692E-01,5.024198E-01,2.415366E-01,4.974884E-01,2.326322E-01,4.821768E-01,2.187936E-01,4.576401E-01,2.058768E-01,4.353795E-01,1.622777E-01,3.168699E-01,1.439682E-01,2.847084E-01,1.204512E-01,2.413022E-01,9.332404E-02,1.921784E-01
-9.31787,38.70000,1.346087E-01,2.819141E-01,1.406465E-01,2.922711E-01,1.382024E-01,2.874254E-01,2.421280E-01,5.002021E-01,2.456574E-01,5.108784E-01,2.420177E-01,5.064383E-01,2.333380E-01,4.925834E-01,2.197588E-01,4.678873E-01,2.068514E-01,4.445346E-01,1.633539E-01,3.217949E-01,1.449285E-01,2.901816E-01,1.213632E-01,2.458788E-01,9.397518E-02,1.960837E-01
-9.31787,38.80000,1.345421E-01,2.854724E-01,1.405835E-01,2.959330E-01,1.381403E-01,2.910142E-01,2.417990E-01,5.059491E-01,2.452000E-01,5.168810E-01,2.415773E-01,5.125065E-01,2.329974E-01,4.997411E-01,2.195212E-01,4.747890E-01,2.066834E-01,4.505957E-01,1.633928E-01,3.249959E-01,1.449672E-01,2.932514E-01,1.214202E-01,2.488184E-01,9.398268E-02,1.985802E-01
-9.31787,38.90000,1.331302E-01,2.856362E-01,1.390868E-01,2.960693E-01,1.366776E-01,2.911513E-01,2.393548E-01,5.063558E-01,2.426960E-01,5.174285E-01,2.390802E-01,5.130841E-01,2.304275E-01,5.003777E-01,2.170613E-01,4.754301E-01,2.044908E-01,4.511433E-01,1.616520E-01,3.247823E-01,1.434753E-01,2.931698E-01,1.200830E-01,2.487769E-01,9.295866E-02,1.986253E-01
-9.31787,39.00000,1.292858E-01,2.793568E-01,1.349799E-01,2.894630E-01,1.326649E-01,2.847072E-01,2.330528E-01,4.959016E-01,2.364995E-01,5.074814E-01,2.329711E-01,5.032002E-01,2.238863E-01,4.890075E-01,2.108663E-01,4.645294E-01,1.988255E-01,4.417005E-01,1.570701E-01,3.177877E-01,1.395716E-01,2.864096E-01,1.165642E-01,2.430864E-01,9.030940E-02,1.942022E-01
-9.31787,39.10000,1.227448E-01,2.661574E-01,1.279379E-01,2.755679E-01,1.257967E-01,2.711626E-01,2.214040E-01,4.713879E-01,2.256451E-01,4.840831E-01,2.220575E-01,4.793597E-01,2.131631E-01,4.649834E-01,2.007339E-01,4.418142E-01,1.890123E-01,4.218451E-01,1.495112E-01,3.035611E-01,1.325834E-01,2.716757E-01,1.108554E-01,2.316779E-01,8.610865E-02,1.853842E-01
