lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-8.318,38.700,0.115,0.238,0.080,0.163
-8.318,38.800,0.117,0.245,0.081,0.168
-8.318,38.900,0.117,0.250,0.082,0.172
-8.318,39.000,0.117,0.254,0.081,0.175
-8.318,39.100,0.117,0.259,0.081,0.179
-8.318,39.200,0.115,0.265,0.079,0.183
-8.318,39.300,0.113,0.270,0.078,0.188
-8.318,39.400,0.109,0.270,0.075,0.187
-8.318,39.500,0.103,0.252,0.071,0.175
-8.318,39.600,0.097,0.232,0.068,0.160
-8.318,39.700,0.092,0.219,0.065,0.150
-8.318,39.800,0.089,0.211,0.062,0.145
-8.318,39.900,0.085,0.207,0.059,0.142
-8.318,40.000,0.081,0.206,0.057,0.141
-8.318,40.100,0.078,0.207,0.055,0.142
-8.318,40.200,0.075,0.207,0.053,0.143
-8.318,40.300,0.073,0.207,0.051,0.143
-8.318,40.400,0.071,0.206,0.049,0.143
-8.318,40.500,0.068,0.203,0.047,0.141
-8.318,40.600,0.066,0.199,0.046,0.138
-8.318,40.700,0.064,0.194,0.044,0.134
-8.318,40.800,0.063,0.187,0.043,0.129
-8.318,40.900,0.061,0.179,0.042,0.123
-8.318,41.000,0.059,0.170,0.040,0.117
-8.318,41.100,0.057,0.161,0.039,0.111
-8.318,41.200,0.056,0.152,0.038,0.104
-8.318,41.300,0.055,0.144,0.037,0.099
-8.318,41.400,0.054,0.137,0.036,0.094
-8.318,41.500,0.053,0.131,0.035,0.089
-8.318,41.600,0.052,0.126,0.035,0.086
-8.318,41.700,0.051,0.122,0.034,0.083
-8.318,41.800,0.050,0.119,0.034,0.081
-8.318,41.900,0.050,0.116,0.033,0.078
-8.318,42.000,0.049,0.114,0.033,0.076
