#,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-04T09:01:17', checksum=3746912572, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.11787,38.80000,9.857769E-02,2.299094E-01,6.948341E-02,1.633860E-01
-9.11787,38.90000,9.815221E-02,2.324655E-01,6.886875E-02,1.664234E-01
-9.11787,39.00000,9.699538E-02,2.356214E-01,6.779053E-02,1.674622E-01
-9.11787,39.10000,9.495907E-02,2.257456E-01,6.624544E-02,1.570621E-01
-9.11787,39.20000,9.215388E-02,2.124809E-01,6.432852E-02,1.485085E-01
-9.11787,39.30000,8.962663E-02,2.032847E-01,6.209956E-02,1.419281E-01
-9.11787,39.40000,8.659370E-02,1.930816E-01,5.910725E-02,1.341301E-01
-9.11787,39.50000,8.197469E-02,1.761044E-01,5.657892E-02,1.225181E-01
-9.11787,39.60000,7.263353E-02,1.562397E-01,5.111540E-02,1.101390E-01
-9.11787,39.70000,6.607348E-02,1.418376E-01,4.689666E-02,1.007991E-01
-9.11787,39.80000,6.083022E-02,1.295389E-01,4.339344E-02,9.144580E-02
-9.11787,39.90000,5.595696E-02,1.208886E-01,4.004179E-02,8.484774E-02
-9.11787,40.00000,5.277763E-02,1.147654E-01,3.775294E-02,7.985488E-02
-9.11787,40.10000,4.959266E-02,1.074932E-01,3.530563E-02,7.385787E-02
-9.11787,40.20000,4.742297E-02,1.029196E-01,3.349603E-02,6.999207E-02
-9.11787,40.30000,4.546448E-02,9.939486E-02,3.186851E-02,6.665551E-02
-9.11787,40.40000,4.388101E-02,9.675670E-02,3.045253E-02,6.368895E-02
-9.11787,41.60000,3.294783E-02,8.334010E-02,2.061475E-02,4.538150E-02
-9.11787,41.70000,3.283450E-02,8.157665E-02,2.056576E-02,4.633742E-02
-9.11787,41.80000,3.281890E-02,8.068535E-02,2.057194E-02,4.741967E-02
-9.11787,41.90000,3.283178E-02,8.042347E-02,2.062205E-02,4.846024E-02
-9.11787,42.00000,3.288374E-02,7.956215E-02,2.067573E-02,4.861769E-02
-9.11787,42.10000,3.291973E-02,7.723770E-02,2.071529E-02,4.766282E-02
-9.11787,42.20000,3.304264E-02,7.604295E-02,2.066101E-02,4.703344E-02
-9.01787,36.90000,1.164990E-01,2.057644E-01,9.923503E-02,1.909074E-01
-9.01787,37.00000,1.128739E-01,1.973459E-01,9.472296E-02,1.805526E-01
-9.01787,37.10000,1.087639E-01,1.901936E-01,9.013060E-02,1.709386E-01
-9.01787,37.20000,1.034219E-01,1.810393E-01,8.516967E-02,1.600149E-01
-9.01787,37.30000,9.726603E-02,1.694730E-01,8.017416E-02,1.474472E-01
-9.01787,37.40000,9.336475E-02,1.624249E-01,7.607707E-02,1.381423E-01
-9.01787,37.50000,9.104583E-02,1.597625E-01,7.313850E-02,1.319996E-01
-9.01787,37.60000,8.985280E-02,1.602227E-01,7.117587E-02,1.284571E-01
-9.01787,37.70000,9.002917E-02,1.649609E-01,7.028635E-02,1.280308E-01
-9.01787,37.80000,9.251129E-02,1.745875E-01,7.091294E-02,1.319335E-01
-9.01787,37.90000,9.539000E-02,1.887072E-01,7.176787E-02,1.396914E-01
-9.01787,38.00000,9.693645E-02,1.953699E-01,7.119273E-02,1.400182E-01
